date,RiskMetrics,Historical,F_Historical,MonteCarlo,GARCH,EGARCH,GJR_GARCH
2016-02-29,-0.022984382594666765,-0.0174505622,-0.019523486087121414,-0.02141363168124219,-0.021779314030037394,-0.02228140975170728,-0.022648568778433888
2016-03-01,-0.023640319046938144,-0.0174505622,-0.019187599629936374,-0.021043985771439025,-0.021368826104375294,-0.022184866976424876,-0.02270093858216984
2016-03-02,-0.022952907721422007,-0.0174505622,-0.020745121211026778,-0.022678128984813452,-0.022262636730723366,-0.02338461604356736,-0.02189962712359651
2016-03-03,-0.022254698993156345,-0.0174505622,-0.019343990648746485,-0.021181243687805162,-0.021182546865276503,-0.021853055706602315,-0.02103264228624318
2016-03-04,-0.02168320364530428,-0.0174505622,-0.018305642021653804,-0.02005482003779003,-0.020133653624373356,-0.020291382459566173,-0.02020145169294089
2016-03-07,-0.021134488592632113,-0.0174505622,-0.017706657309941917,-0.01937836749843935,-0.019327217791586717,-0.019437536281574356,-0.019440446639060034
2016-03-08,-0.020787556055365683,-0.0174505622,-0.01697086180282534,-0.018575655112773842,-0.018534352447104954,-0.018633447018421782,-0.01870069535544113
2016-03-09,-0.020438536135318985,-0.0174505622,-0.01630946342884801,-0.017892131330054076,-0.018223426869543115,-0.018642509429492405,-0.018824409551694437
2016-03-10,-0.019823782609886143,-0.0174505622,-0.01632708228283953,-0.017867538920031546,-0.017737508784571632,-0.018366508350127063,-0.01812117142287028
2016-03-11,-0.020172680897621767,-0.0174505622,-0.015363059314964135,-0.01683252514176465,-0.016886773826717626,-0.01704001729547451,-0.017423449711717068
2016-03-14,-0.019558153740474322,-0.0174505622,-0.016322788651961448,-0.017843842609991598,-0.017537743762544484,-0.018027673366903068,-0.016866571265362718
2016-03-15,-0.019074702472038713,-0.0174505622,-0.015152453206713917,-0.016604593716225302,-0.016700918944748632,-0.01673472677060757,-0.016229975567243433
2016-03-16,-0.018690811747476128,-0.0174505622,-0.014531097387616786,-0.01593761423450601,-0.016159003339847846,-0.01634645968710224,-0.01598894925703331
2016-03-17,-0.018231929816586064,-0.0174505622,-0.01439002098037239,-0.015755013446990984,-0.01566132135766694,-0.016006887491155718,-0.015410521684180336
2016-03-18,-0.017820092738499764,-0.017367651760000002,-0.013760329659310584,-0.015134501642930525,-0.015071625731859219,-0.015436194276249525,-0.014874393746628628
2016-03-21,-0.01727786953448035,-0.017367651760000002,-0.013310532593145775,-0.01464110111800603,-0.014570729557004978,-0.015014341652211967,-0.014356316775041206
2016-03-22,-0.01682334629447342,-0.017367651760000002,-0.012566039000417993,-0.013839299594893198,-0.01390434691428754,-0.013934746051253909,-0.013842163008003441
2016-03-23,-0.016418503946052574,-0.017367651760000002,-0.012055103640273342,-0.01329186475714229,-0.013468822496332824,-0.013600646055438134,-0.013612093855522754
2016-03-24,-0.015922198829698943,-0.017367651760000002,-0.011743617225854453,-0.0129496293590422,-0.013132844917118986,-0.013418202264976595,-0.01350684620642477
2016-03-28,-0.015495900738883236,-0.017367651760000002,-0.011336568195833379,-0.012494759864690874,-0.012575581123303259,-0.012656796217093858,-0.013057981757726558
2016-03-29,-0.015933371205854755,-0.017367651760000002,-0.010931428825248874,-0.012058172690338312,-0.012203242068740112,-0.012355542283152868,-0.012826774937724212
2016-03-30,-0.01545131970863635,-0.017367651760000002,-0.012209953078522327,-0.013418453704761052,-0.013145602640777163,-0.013469561530063028,-0.012520372710034082
2016-03-31,-0.015027795690236134,-0.017367651760000002,-0.011370082069104044,-0.012522535805116919,-0.01255721874820367,-0.012471120162284237,-0.012081253252121857
2016-04-01,-0.015030303262385575,-0.017367651760000002,-0.010908258812522957,-0.01202662675737865,-0.012155436969612271,-0.012120699136026461,-0.01188035721612882
2016-04-04,-0.014594562520717834,-0.017367651760000002,-0.011386471547790832,-0.012518522579641823,-0.012331346129837788,-0.012566514653219353,-0.01156624479573593
2016-04-05,-0.014898279380535394,-0.017367651760000002,-0.010730524664506705,-0.011824769687461044,-0.011886523237108086,-0.01205880899864269,-0.011310321853824086
2016-04-06,-0.015046794874949334,-0.017367651760000002,-0.011320223701516564,-0.012502548131725234,-0.01286603275533848,-0.013190590966649525,-0.013240225232115257
2016-04-07,-0.01513670292442316,-0.017367651760000002,-0.012175482271294127,-0.013384310781892221,-0.013174714870302766,-0.0137577935175315,-0.01285726685580546
2016-04-08,-0.01472024328050019,-0.017367651760000002,-0.012052238099237863,-0.013302571116966986,-0.013631631820152004,-0.014443845880354796,-0.013990438482492063
2016-04-11,-0.014418622837875083,-0.017367651760000002,-0.011885958558812642,-0.013087521349649765,-0.013071351849551924,-0.01368183560447926,-0.01351294832474207
2016-04-12,-0.014855881174682969,-0.017367651760000002,-0.011446167348563704,-0.01262746565053862,-0.012821381223909618,-0.013566996201307548,-0.013486907983995901
2016-04-13,-0.014592774291280116,-0.017367651760000002,-0.012533087550104887,-0.013773262714284853,-0.013509218552428915,-0.01443636221724427,-0.013109480192045045
2016-04-14,-0.014149178292586065,-0.017367651760000002,-0.012017920414092146,-0.013226623202577434,-0.013147073800152783,-0.014136850451873928,-0.0126936873259134
2016-04-15,-0.013727237845806118,-0.017367651760000002,-0.011356020026583778,-0.012515069285125649,-0.012589461232624838,-0.01325218614917932,-0.01229330189575196
2016-04-18,-0.013428509593858865,-0.017367651760000002,-0.010882719434772162,-0.01199941247411386,-0.01209509266257167,-0.012570857744124649,-0.011947364719415406
2016-04-19,-0.01311261837829299,-0.017367651760000002,-0.010701583171377123,-0.011784923270508852,-0.011726886456225152,-0.012213405887143106,-0.011587174184226286
2016-04-20,-0.01274642536511779,-0.017367651760000002,-0.010338382364180844,-0.011388920735432082,-0.011356951995661191,-0.011806423720199204,-0.011251717240615543
2016-04-21,-0.012531857343779939,-0.017367651760000002,-0.009853327268361769,-0.01087407864109264,-0.011004285261978079,-0.011409598226867827,-0.011046891855092554
2016-04-22,-0.01224054692663944,-0.017367651760000002,-0.009736666878530574,-0.010753561127479125,-0.010951843337244539,-0.011504329115134288,-0.01125994191648414
2016-04-25,-0.012327315725063013,-0.017367651760000002,-0.009664774846333976,-0.010653355043701023,-0.010625134949554032,-0.0111250406271571,-0.010939511914908839
2016-04-26,-0.011959796886761182,-0.017367651760000002,-0.009797447831508417,-0.01082793504887323,-0.01110859270887366,-0.011768281792171617,-0.011895770246766703
2016-04-27,-0.012049301723817128,-0.017367651760000002,-0.00965673707477641,-0.010648313114948484,-0.010675243512096222,-0.010964683259650143,-0.011529565384906845
2016-04-28,-0.012189674665465895,-0.017367651760000002,-0.010026793407605174,-0.011031632787253338,-0.010865012214283105,-0.011346851340737044,-0.011226099626477665
2016-04-29,-0.012007528120975709,-0.017367651760000002,-0.010058567701129706,-0.011107571351254172,-0.011382356828313546,-0.012031482607027796,-0.012237543441963072
2016-05-02,-0.012515390049346172,-0.017367651760000002,-0.010078766765858657,-0.011122824280095988,-0.011310590568360784,-0.01209488791966229,-0.012355898299785938
2016-05-03,-0.012283465489508769,-0.017367651760000002,-0.011152841221344925,-0.012257930172583168,-0.01201189887104558,-0.0129294456099127,-0.012035858279168638
2016-05-04,-0.011969982580278073,-0.017367651760000002,-0.01053363009899179,-0.01162005618206689,-0.011815862194347685,-0.01282376303273309,-0.012084195072614051
2016-05-05,-0.01176147529429146,-0.017367651760000002,-0.010300756610465697,-0.011356465735380392,-0.011475282944412933,-0.012448638916938525,-0.01189228055623411
2016-05-06,-0.011404897746089467,-0.017367651760000002,-0.010122700083545962,-0.011166623409416043,-0.011328196985287774,-0.012383733562311159,-0.011952097472606072
2016-05-09,-0.011215427603369008,-0.017367651760000002,-0.009836963431338703,-0.010844035405599906,-0.010896653651714525,-0.011659624847907822,-0.011596419620220906
2016-05-10,-0.011777539927153627,-0.017367651760000002,-0.009762805116359108,-0.010745183740755958,-0.010643844427050379,-0.011417535844881097,-0.011261395913147306
2016-05-11,-0.011779590225983542,-0.017367651760000002,-0.010639144966192525,-0.011684272408577993,-0.011410638509834141,-0.012286125487653923,-0.011010260700086138
2016-05-12,-0.011439950256757155,-0.017367651760000002,-0.010318036407204948,-0.011381733198222603,-0.011604798777718512,-0.012640095319712765,-0.011671704049388098
2016-05-13,-0.011365190739244226,-0.017367651760000002,-0.010140547346844175,-0.011165084962048606,-0.011147092717698518,-0.011847657781511818,-0.011322111543951078
2016-05-16,-0.01181553913477648,-0.017367651760000002,-0.009981335814858959,-0.01101343522842881,-0.011217132134608346,-0.012072379258264553,-0.011708331634747108
2016-05-17,-0.012063552997835207,-0.017367651760000002,-0.010930909804891354,-0.012010622049397802,-0.011767670254239162,-0.012769115558075058,-0.011417251209792279
2016-05-18,-0.01170703044378093,-0.017367651760000002,-0.010868175324195045,-0.011995245493120784,-0.012297667136402865,-0.013444708660124769,-0.012611827028268739
2016-05-19,-0.011537736800857977,-0.017367651760000002,-0.010699012018562097,-0.011780904524605496,-0.011782817566698663,-0.012521155426136568,-0.012204238448504535
2016-05-20,-0.011331292205160224,-0.017367651760000002,-0.010403937653249908,-0.011476172961572691,-0.011654897111628006,-0.012518071068459974,-0.01230269603254329
2016-05-23,-0.011124374535893815,-0.017367651760000002,-0.01036361586693052,-0.011405613785745217,-0.011326297151097222,-0.01217426438290906,-0.011923195331890053
2016-05-24,-0.011844129198867315,-0.017367651760000002,-0.00996705894981339,-0.010995037353501493,-0.011149905280029558,-0.012070579395857239,-0.011917563154493738
2016-05-25,-0.011571545654894825,-0.017367651760000002,-0.011213020645954785,-0.012316919779807013,-0.012029145310943998,-0.013031344372965619,-0.011634421136635986
2016-05-26,-0.011356686068899974,-0.017367651760000002,-0.010591544412999948,-0.011659035390930028,-0.011608359366507266,-0.01249275194967498,-0.0112902390438364
2016-05-27,-0.011293059838697462,-0.017367651760000002,-0.010305738717750817,-0.011344703507320914,-0.011276871646341302,-0.01213534339159053,-0.010971740115256394
2016-05-31,-0.010949066121369123,-0.017367651760000002,-0.010229669420177435,-0.011257225026362876,-0.011143824984129717,-0.012099316371718885,-0.010683753849912188
2016-06-01,-0.010769003702969427,-0.017367651760000002,-0.009669810207944319,-0.01065990263791553,-0.010713184861237597,-0.011332674092115526,-0.010393548189596272
2016-06-02,-0.01063844249397773,-0.017367651760000002,-0.009577759226812891,-0.010542032321824565,-0.010460452303410112,-0.011089971864978374,-0.010129661001262131
2016-06-03,-0.010365451161643332,-0.017367651760000002,-0.009427069875652713,-0.010374918897842627,-0.010276405488318749,-0.010954272260155122,-0.009884105706465146
2016-06-06,-0.010686806673295706,-0.017367651760000002,-0.009050628622011322,-0.009968710946441361,-0.009933584768698567,-0.010434126595193344,-0.009640866410033202
2016-06-07,-0.01043343477953674,-0.017367651760000002,-0.009610635419196026,-0.010564859374733051,-0.010360037679178613,-0.011009242383650447,-0.009470959474861826
2016-06-08,-0.010211352749339157,-0.017367651760000002,-0.009152932117428753,-0.010077627152967549,-0.01003247421082236,-0.010559248212648089,-0.009255507745368938
2016-06-09,-0.009900825431811039,-0.017367651760000002,-0.008914338929841925,-0.00981438956997842,-0.009753487961782176,-0.010209648762517709,-0.009055349248725104
2016-06-10,-0.010096341359690276,-0.017367651760000002,-0.008512993204804913,-0.009384993298073168,-0.009423000867242149,-0.009623100234247919,-0.008870034625380167
2016-06-13,-0.009912202088853574,-0.017345218519999997,-0.008816750571080879,-0.009744764127076014,-0.009984632753640303,-0.010324489874238936,-0.010043251915044763
2016-06-14,-0.00966069385873731,-0.017345218519999997,-0.008846786724177151,-0.009762783051981317,-0.009880203544946875,-0.010304232307554034,-0.010134574437563139
2016-06-15,-0.009554782332732633,-0.017345218519999997,-0.008736770010193481,-0.009625166479370584,-0.009562287907219497,-0.009819930389254721,-0.009874020326447476
2016-06-16,-0.009420228868663555,-0.017345218519999997,-0.008568579620181174,-0.009461221508708843,-0.009598789576012644,-0.009979027999576404,-0.010126091858425943
2016-06-17,-0.009142534613120661,-0.017345218519999997,-0.008651719445497072,-0.009527903333398494,-0.009414944075136916,-0.00980391525909035,-0.009873381932651637
2016-06-20,-0.009221148809928751,-0.017305397259999997,-0.008250862842737667,-0.009117533317190164,-0.00913628490982202,-0.009372240026381042,-0.009666481442824424
2016-06-21,-0.008984089581173594,-0.017305397259999997,-0.008523388520659755,-0.009397636703252926,-0.009230189932447399,-0.009590407492846922,-0.009463194235196756
2016-06-22,-0.008748477997447166,-0.017305397259999997,-0.008170118435667709,-0.009016227372534238,-0.008949256776469128,-0.009119684737466398,-0.00924445517689602
2016-06-23,-0.010419192829390482,-0.017305397259999997,-0.00790428460773997,-0.008733853376643796,-0.008767152654464195,-0.008901623127452659,-0.009159607966497365
2016-06-24,-0.017101225390621092,-0.017305397259999997,-0.010348305628410957,-0.01136065905036114,-0.010901302603384814,-0.010726908494263027,-0.009154204708334206
2016-06-27,-0.01808286907316214,-0.017345218519999997,-0.017336316007203745,-0.01913614049313696,-0.02016498219938131,-0.016975713335201478,-0.023224119646472006
2016-06-28,-0.01888877172468755,-0.017367651760000002,-0.01884006166283922,-0.0207191079176918,-0.02125886131183339,-0.018789704602208548,-0.02498064900279974
2016-06-29,-0.01935418183594827,-0.017367651760000002,-0.020304942436700474,-0.022230888790525132,-0.02180038352665222,-0.020059140783650436,-0.024059909359038553
2016-06-30,-0.01955552038917035,-0.017367651760000002,-0.020322278459951885,-0.022256003946159526,-0.0219192025539644,-0.02083196751138373,-0.023147628019754556
2016-07-01,-0.018965865283385036,-0.017367651760000002,-0.020073309024357333,-0.02199046292176715,-0.02172821687765733,-0.02119130905049556,-0.02225670593907013
2016-07-05,-0.0184063174631116,-0.017367651760000002,-0.018703687438000743,-0.020521662106664243,-0.020581899919329117,-0.019498417913571542,-0.021306264291434562
2016-07-06,-0.01796006048911357,-0.017367651760000002,-0.01769872999781768,-0.01942794204450828,-0.019560297933673677,-0.018338026760876626,-0.02046429176020472
2016-07-07,-0.01748586396446113,-0.017367651760000002,-0.017076470440413605,-0.018730651484152275,-0.018677496667790627,-0.017533340816845964,-0.019630050222289967
2016-07-08,-0.01829026576251763,-0.017367651760000002,-0.016115441097357183,-0.017704054737203816,-0.017884526808037697,-0.016873043350356314,-0.019018743327319676
2016-07-11,-0.01777901392783508,-0.017367651760000002,-0.017482552784211465,-0.019148965148388267,-0.018784685511214993,-0.01823189816339479,-0.018430544448546908
2016-07-12,-0.017265168447476702,-0.017367651760000002,-0.016272280652501483,-0.017859780796119128,-0.017880649099647084,-0.017155665268871082,-0.0177003635620227
2016-07-13,-0.016873352961039367,-0.017367651760000002,-0.015462125864219857,-0.01697264143599853,-0.017004021323223102,-0.016057829487724995,-0.01700143502688257
2016-07-14,-0.016449438924470632,-0.017367651760000002,-0.014909485184926605,-0.016360699817507134,-0.016313747720008116,-0.015507489439785577,-0.01635391624327926
2016-07-15,-0.015951370974982886,-0.017367651760000002,-0.014252790474505894,-0.01563758388218964,-0.01561165555137216,-0.014850448352045147,-0.01573951650697939
2016-07-18,-0.015466683809030577,-0.017367651760000002,-0.013468906223496637,-0.014788632941755702,-0.014878168134635392,-0.013936662988937703,-0.015161811339966073
2016-07-19,-0.015024248351519887,-0.017367651760000002,-0.012861195073550982,-0.014121906961386092,-0.014173217704370786,-0.01290982006816824,-0.014597059991246109
2016-07-20,-0.014714701492568313,-0.017367651760000002,-0.01227172375351164,-0.013481957134500344,-0.013595980196092441,-0.012409998934991102,-0.014161858706596342
2016-07-21,-0.014519087329705964,-0.017367651760000002,-0.01204842428747897,-0.013218752739619347,-0.013148542476974282,-0.012176841410343786,-0.013673465765734184
2016-07-22,-0.014437478474232084,-0.017367651760000002,-0.011681840927714503,-0.01284650014773565,-0.013081142707638629,-0.012467730445025164,-0.013898170444580806
2016-07-25,-0.01408328275460346,-0.017367651760000002,-0.01197695958592074,-0.013133382532326307,-0.0129840680262406,-0.01269061374047559,-0.013458165903863171
2016-07-26,-0.013679544471531557,-0.017367651760000002,-0.01132260282723594,-0.012449024146878518,-0.012610822298573505,-0.012461149556137035,-0.013252880302229455
