date,RiskMetrics,F_Historical,MonteCarlo,GARCH,FIGARCH,EGARCH,TARCH,GJR_GARCH
2016-05-05,-0.01176147529429146,-0.01030166464880353,-0.011357374315748906,-0.011475287421150615,-0.012325644435393709,-0.012448658316317978,-0.01360795262496663,-0.011892387128518013
2016-05-06,-0.011404897746089467,-0.010122388526985606,-0.01116631282626866,-0.011328204676987117,-0.012086941671015516,-0.012383745725389514,-0.01401518691567326,-0.01195211460638157
2016-05-09,-0.011215427603369008,-0.009841214078419891,-0.010848281840406452,-0.010896606610419517,-0.01151782722591218,-0.011659648162424754,-0.013441829756115312,-0.011596431434110396
2016-05-10,-0.011777539927153627,-0.009762526589865438,-0.010744901398395807,-0.010643802339050207,-0.011123527003433026,-0.011417537065070912,-0.012803938382808284,-0.011261406640438858
2016-05-11,-0.011779590225983542,-0.01065984939488587,-0.011704977887867762,-0.011410646107443675,-0.011779126528906263,-0.012286167387891818,-0.012326177899923357,-0.011010271978485744
2016-05-12,-0.011439950256757155,-0.010319696218255563,-0.011383394160876706,-0.01160481136799332,-0.012022854221032027,-0.012640106214004913,-0.013389065858370623,-0.011671824821901574
2016-05-13,-0.011365190739244226,-0.010134717493104769,-0.011159253959827914,-0.0111470764380392,-0.0116993937313808,-0.011847659656095468,-0.012704526113298004,-0.011322129948594339
2016-05-16,-0.01181553913477648,-0.009982103354733578,-0.01101420235848502,-0.011217123556009914,-0.011779241956574696,-0.012072380409489467,-0.013510716371974653,-0.011708449451269917
2016-05-17,-0.012063552997835207,-0.01093096011550907,-0.012010673936782531,-0.01176768577982779,-0.0122679280996166,-0.012769117207649873,-0.012963092019323056,-0.011417374175523444
2016-05-18,-0.01170703044378093,-0.010868458816673861,-0.011995530489999245,-0.012297681625375693,-0.012858130696333845,-0.013444711353910696,-0.014477694070792715,-0.012611974423910335
2016-05-19,-0.011537736800857977,-0.010698181156542235,-0.011780077169204695,-0.011782856387474623,-0.012460274682076243,-0.01252117122349482,-0.013700079786435936,-0.012204260822586199
2016-05-20,-0.011331292205160224,-0.010402605874907203,-0.011474843927405727,-0.011654930394474218,-0.012332465069331763,-0.012518076974350702,-0.014200637575163114,-0.012302716586384306
2016-05-23,-0.011124374535893815,-0.010373348069847006,-0.011415340174451175,-0.011326226242128036,-0.011859474064647357,-0.01217426797750442,-0.013505901689341869,-0.01192321324185717
2016-05-24,-0.011844129198867315,-0.00996859127845897,-0.010996563719467316,-0.011149828097651719,-0.01154864603001218,-0.012070582357932215,-0.013835548798471384,-0.011917579399982406
2016-05-25,-0.011571545654894825,-0.011213358244179579,-0.012317250710101391,-0.012029063397617546,-0.01234020653778246,-0.013031361293866412,-0.013289291199291,-0.011634413035809385
2016-05-26,-0.011356686068899974,-0.010591469988064463,-0.011658961136620542,-0.011608363468159365,-0.011965849458885848,-0.012492773918938936,-0.012640862777941958,-0.011290234873186984
2016-05-27,-0.011293059838697462,-0.010304823482655047,-0.011343788844801077,-0.011276879450759546,-0.011695285264768327,-0.012135379321863139,-0.012058728060844168,-0.010971697297040329
2016-05-31,-0.010949066121369123,-0.010230269224513781,-0.011257825046997209,-0.011143830527550093,-0.01145883592979059,-0.012099328754077711,-0.01154905787968431,-0.010683657713764387
2016-06-01,-0.010769003702969427,-0.00966985604753733,-0.010659948625148425,-0.010713190928685919,-0.01091410514990826,-0.011332707293908466,-0.011059007097486797,-0.010393588232599267
2016-06-02,-0.01063844249397773,-0.0095778103431971,-0.010542083726620759,-0.010460459390487922,-0.010556969421353639,-0.011090009793894778,-0.01059306553968451,-0.01012952997957025
2016-06-03,-0.010365451161643332,-0.00942627978292434,-0.010374129274592844,-0.010276408977378387,-0.010274870829198578,-0.01095426076531432,-0.010168364014527463,-0.009884267742089762
2016-06-06,-0.010686806673295706,-0.009046094046121323,-0.009964176727923579,-0.009933588441389243,-0.009877761593626782,-0.010434103605842737,-0.009731438407851279,-0.009640833001514287
2016-06-07,-0.01043343477953674,-0.009611131451136063,-0.010565357774955292,-0.010360072283270816,-0.010314422701465898,-0.011009245061885322,-0.009444802158201633,-0.009470962357204543
2016-06-08,-0.010211352749339157,-0.009152875679884239,-0.01007757330599281,-0.010032513078410996,-0.010056689712816688,-0.010559240714276183,-0.009069118245786698,-0.00925550363805398
2016-06-09,-0.009900825431811039,-0.008914051602900465,-0.009814115514674924,-0.009753656266992539,-0.00985152871063385,-0.010209642940574967,-0.00872779093188909,-0.009055326928688876
2016-06-10,-0.010096341359690276,-0.008512956128932542,-0.009384967120543024,-0.009423140370366456,-0.009491512088592873,-0.009623165352559917,-0.008481555514253645,-0.008870101232464584
2016-06-13,-0.009912202088853574,-0.008820954199010429,-0.009748979529950524,-0.009984779958534749,-0.010044820741052703,-0.010324511097858074,-0.009972515209653407,-0.010043251848511237
2016-06-14,-0.00966069385873731,-0.008843981491271163,-0.009759989278788628,-0.009880349036142,-0.010025688000082134,-0.010304247707825646,-0.010461477020042085,-0.010134518130498973
2016-06-15,-0.009554782332732633,-0.008736727570247552,-0.009625135437388382,-0.009562434482865532,-0.009812932651577674,-0.009819940405335742,-0.009998317135221771,-0.00987399102037734
2016-06-16,-0.009420228868663555,-0.008566540871367014,-0.009459192544302612,-0.009598917651428656,-0.009840998423374894,-0.009979029592232791,-0.010669068412577885,-0.010126085154206953
2016-06-17,-0.009142534613120661,-0.00865215084640418,-0.009528342189260013,-0.009415047678574791,-0.00963297186272086,-0.009803936072181121,-0.010223126173113542,-0.009873320771360702
2016-06-20,-0.009221148809928751,-0.008251767370827926,-0.009118446435225048,-0.009136396230968161,-0.0093254550459328,-0.009372254072279713,-0.010044276544502519,-0.009666477484056982
2016-06-21,-0.008984089581173594,-0.008527163703534908,-0.0094014037060786,-0.009230102441187677,-0.009367363918031866,-0.009590411544369966,-0.009685867473827478,-0.009463176282599059
2016-06-22,-0.008748477997447166,-0.008176750265529983,-0.009022858718424611,-0.008949262380701541,-0.009062813050946906,-0.009119700947974206,-0.009274882243640885,-0.009244453080632344
2016-06-23,-0.010419192829390482,-0.007895321393587416,-0.008724892636674943,-0.008767195213123071,-0.008876864816239146,-0.008901631832069866,-0.009393932188515574,-0.009159721876215337
2016-06-24,-0.017101225390621092,-0.010299890564055628,-0.011312258896676274,-0.010901494132551143,-0.011054428125289686,-0.010726914945992327,-0.00925249492498034,-0.00915432329542897
2016-06-27,-0.01808286907316214,-0.01733445539905133,-0.019134257620966013,-0.02016472775665344,-0.021580681169508027,-0.016975727284198584,-0.016775084319806746,-0.02322414993288486
2016-06-28,-0.01888877172468755,-0.018838781513737093,-0.020717817201389307,-0.02125873764698816,-0.022936688700836528,-0.01878970833471781,-0.019937784593344745,-0.024980658792128303
2016-06-29,-0.01935418183594827,-0.020275147290938628,-0.022201100876860072,-0.021800468132306777,-0.024248002990241307,-0.020059090793989324,-0.01910595333427973,-0.02405992480296435
2016-06-30,-0.01955552038917035,-0.020316905314557508,-0.02225063637328981,-0.021919264984214988,-0.024341680024675516,-0.020831934815555755,-0.018290082502729378,-0.023147430748286152
2016-07-01,-0.018965865283385036,-0.02007296549279535,-0.021990126758399647,-0.02172830021568078,-0.023762261730987888,-0.02119139768054421,-0.01747309806436105,-0.022256609731596527
2016-07-05,-0.0184063174631116,-0.018703497945094773,-0.020521466865286043,-0.020581831292570085,-0.021996491596516288,-0.019498456080228342,-0.016438546748607362,-0.02130631356130397
2016-07-06,-0.01796006048911357,-0.017700615648073494,-0.019429824064681314,-0.019560249970888358,-0.020292678191683032,-0.01833802734184636,-0.016009119994743887,-0.020464294259682943
2016-07-07,-0.01748586396446113,-0.017079223755605166,-0.018733414221325694,-0.01867760885828678,-0.018642604186441286,-0.017533371857408525,-0.015177979350410136,-0.019630005902672956
2016-07-08,-0.01829026576251763,-0.016115628921996514,-0.01770425069261273,-0.01788463059244899,-0.017152537710223004,-0.016873082371521613,-0.01528268794594758,-0.019018692311548072
2016-07-11,-0.01777901392783508,-0.017482437744305742,-0.019148850625343918,-0.018784692061741274,-0.01802663840917461,-0.018232000080540232,-0.01477278363606418,-0.01843046667776882
2016-07-12,-0.017265168447476702,-0.01627229815082617,-0.01785980902214618,-0.01788077580156027,-0.01683747338400504,-0.01715561678928147,-0.014003189215585627,-0.01770028348887523
