date,CWB,CU,BTE,ATA,ASR,ARX,ARE,AQN,CP,ENB,CNR,CNQ,BNS,EMA,CM,BMO,ELD,CLS,BLX,ALA,CIX,CIGI,AGI,CFP,AEM,CCO,CCA,BCE,BCB,BB,ABX,ABT,CAS,CAE
12/5/2016,-0.046040673,-0.003134416,-0.004850454,0.013158085,0.048790164,0.00251133,0.025891552,0.005448237,0,0.003964872,-0.000333497,0.006881379,-0.005236563,0.003853929,-0.006597673,-0.027307468,-0.03278234,-0.012376396,0.03246809,-0.007679653,-0.033184211,-0.010582402,0.042653542,0.000678656,0.009068648,-0.019875369,-0.00124498,-0.000866822,0.057640494,0.002974717,0.01449383,-0.00158027,0.009790061,-0.007700829
12/6/2016,-0.013825399,0.002562038,0,-0.027986901,0.042559614,0.007152317,0.014527713,-0.010866952,-0.017887892,-0.00755248,-0.021044708,0.01466674,-0.012243108,-0.005209385,-0.011804234,-0.011664018,0.017512525,-0.003683245,-0.002945605,-0.001528879,-0.023748907,0,-0.009912797,-0.046427436,0.008588294,-0.02762738,-0.005422846,-0.010171752,-0.031346139,-0.001984128,-0.017846524,-0.009464684,-0.00535612,0.002563932
12/7/2016,-0.02147741,-0.005683464,-0.016000341,-0.017328295,0.058181955,0.016605915,-0.001326129,-0.004501878,-0.00569823,0.002690022,-0.006862632,0.005929971,-0.007511109,-0.003159038,-0.008181443,-0.019982783,-0.007535754,0.014815086,-0.008772433,-0.008221045,-0.032734717,-0.021864458,0.008679316,-0.025593208,0.000376173,-0.013164569,-0.004624862,0.00034393,0.039338645,-0.023507449,-0.003818632,-0.026294484,-0.033241864,0.011855641
12/8/2016,0.013843545,0.002554043,-0.018868484,-0.004510608,0.091630323,-0.01152307,-0.01255105,-0.000897949,0.001166262,0.005041521,0.005114821,-0.00547353,-0.009148399,-0.002249627,-0.002771333,-0.012342551,0.033116542,-0.006199648,-0.00174782,-0.00090721,0.007488858,-0.019379613,0.006233301,0.012714729,0.056132583,-0.013001005,0.001539245,-0.002057815,-0.013049693,0.003879733,0.029971711,0.003068933,-0.004298199,0.004680539
12/9/2016,-0.005055902,-0.015505025,-0.090768588,0.002703922,-0.024938948,-0.008035546,-0.00458086,-0.002678729,0.027504075,0.001807173,0.023405771,-0.006574538,0.004432036,-0.002690838,0.005551391,0.002498353,-0.035632646,0.009313945,0,-0.009045683,0.009608794,-0.014240592,-0.063054128,0.00064,-0.013011172,0.023960688,-0.002923201,-0.00767436,0.003612903,0.00878483,0.013833309,0.009229057,0.021659935,0.009950004
12/12/2016,0.000315897,-0.007801048,-0.018323275,-0.017002647,0.04020642,-0.022480748,-0.005211748,-0.008901422,0.009490633,-0.018635184,-0.003790517,-0.035294616,-0.007290174,-0.011145522,-0.005194329,-0.00571522,0.022773312,0.004376375,-0.028652503,-0.020788875,-0.003787592,0.005592581,-0.003511481,-0.007017573,-0.019587055,-0.007324864,0.000307563,0.001669029,-0.032699388,-0.00781254,-0.027477866,-0.001541219,-0.003501993,0.003174991
12/13/2016,0.01924498,0.004172686,0.082956632,-0.005309747,0.058063801,0.034339301,0.013080655,0.007112733,0.023480868,0.015745693,0.010741577,0.023838264,0.006507758,0.010696898,0.005373327,0.00373665,0.041761859,0.003766483,0.02575255,0.00471368,0.006549439,0.004818372,0.027298649,0.027063507,0.034782288,0.023618472,-0.00368125,0.014570063,-0.013200481,0.00487568,0.055732151,0.021831644,0.006129708,0.006385941
12/14/2016,0.004217238,0.003628362,-0.022506576,-0.026133891,-0.010810916,-0.015219655,-0.000659925,0.004467418,-0.002424367,-0.008798132,-0.007620469,0.013264763,0.001566933,0.000223005,-0.002153001,-0.004669499,0.032528065,-0.002512564,-0.008655996,0.003550815,-0.009977085,-0.006019849,0.02682647,0.00261609,0.033771718,-0.031608286,-0.003667748,-0.002442799,-0.019815788,0.00588237,0.045009054,-0.00629393,-0.019129381,-0.000533259
12/15/2016,-0.004217238,-0.025953722,-0.008862687,-0.035476693,0.027249642,-0.013337352,-0.022607527,-0.020392928,0.001804979,-0.024891892,0.000781801,-0.011700313,0.005639211,-0.012247739,0.006472959,-0.003100164,-0.027179668,-0.003131853,-0.008017261,-0.013249232,0.010322356,0.003205134,0,0.013847897,-0.021970398,-0.047342407,-0.006839762,0.001569542,-0.026042975,0.005917177,-0.014348555,0.014213006,-0.017080001,-0.003730407
12/16/2016,-0.003233327,0.017320223,0.007380107,0.024360717,-0.016438726,0.036688802,0.010423106,0,0.002584206,0.004543877,-0.005459818,0.006959265,0,0.002436561,-0.002792576,0.002893878,-0.018582337,-0.008717365,0.005718266,0.000876151,0.003463272,-0.009386874,-0.015936049,-0.016463987,-0.029344686,0.01880842,0.009742422,-0.002093514,0.017286407,-0.022494836,-0.007882158,-0.012630031,-0.020123404,0.000531273
12/19/2016,0.006477142,0.001111134,0.010424517,0.006825965,-0.016172859,0.009495431,0.006567342,-0.00787366,-0.002481178,0.011273052,-0.008298235,0.005873899,0.001974358,0.006233723,-0.003500718,-0.003100674,-0.041249371,-0.005564157,-0.003432394,0.010596097,0.002085332,-0.00099297,0.001218769,-0.028968875,0.014961418,-0.00840381,-0.008530203,0.000349284,-0.013985755,0.031436773,-0.003659319,0.006286219,-0.00990758,0.005333879
12/20/2016,0.008483497,0,0.016604155,-0.016136231,-0.026386755,0.006525325,0.009008352,-0.007812149,-0.00350388,-0.002652902,-0.004507486,0.006593968,0.000923304,-0.003343235,-0.002595881,-0.001957844,-0.039615053,0.008668785,0.007452846,-0.006487511,-0.013128996,0.001588826,0.007331565,-0.005063302,-0.016718406,0.020433275,0.00837791,-0.001392395,-0.020943747,0.024243612,0.009962222,0.00317576,-0.020330101,0.001069084
12/21/2016,0.00822384,-0.002495974,-0.006069821,-0.021667514,-0.010362787,0.004372304,-0.004680858,0.010433172,0.004433734,-0.02011516,-0.0037236,0.001141644,-0.004211738,-0.009083069,-0.002978073,-0.002776404,0.01961137,0.003114297,0.002886168,-0.010725855,0.008962672,0.015435373,-0.003678683,0.030771659,-0.003308801,-0.017639845,-0.01004413,-0.011765651,0.004541559,0.010277583,-0.003156417,0.001582771,0.022795665,-0.004807448
12/22/2016,-0.006585908,0.00166329,0.013709278,-0.02684179,-0.030459207,-0.001751216,-0.011274336,0.002617829,-0.00175537,0.002774252,-0.000218739,0.006183973,0.001314076,0.001545186,0.000900925,0.002158632,-0.022023799,0.00124844,-0.012624885,0.001166483,-0.003800642,0.002224632,-0.012153237,0.003260518,-0.022490585,0.006315733,-0.001362386,-0.002062579,0,0.017718025,-0.033569888,-0.004758532,0.007442015,-0.003188489
12/23/2016,-0.015306494,-0.005532539,-0.036148514,-0.033152207,-0.053540767,-0.013506354,-0.00395112,-0.008303052,0.002693006,0.010474073,-0.00240069,-0.002982429,-0.002363498,0.004870812,0.000360801,-0.000206221,-0.044973319,-0.005605745,-0.077318082,0.006168208,-0.00535504,0.015158487,-0.071076044,-0.001957586,-0.042606292,0.016436696,-0.003171163,0.003611317,-0.003891122,0.001052078,-0.050508553,-0.003148049,-0.001656658,-0.0037071
12/28/2016,0.009091585,-0.003305511,0.017910927,0.025955055,-0.055313638,-0.004748262,-0.002627804,-0.006130188,-0.001813316,-0.001227848,-0.001089217,0.009669133,0.001193018,-0.009499224,0.003797819,0.00195623,-0.049679503,-0.002481391,-0.018300584,0,-0.003624802,-0.006565425,-0.090287992,0.00851069,-0.064709587,-0.005751681,0.000151702,-0.004982694,-0.00194328,0.011646505,-0.065861978,0.003148049,-0.003305105,0.0047688
12/29/2016,0.010492614,0.004962373,0.012121361,0.0023933,-0.00447428,0.004748262,0.000654525,0.004372016,0.008524699,0.009863191,0.016246079,0.010230001,0.008391216,0.002200614,0.007637128,0.004443805,0.049679503,0.01435282,0.007800511,0.001766762,0.004834681,-0.011993082,0.049506042,-0.003937013,0.036866067,-0.005711402,0.001356659,0.005328066,0.016959387,0.016103408,0.028893759,-0.007869194,0.000825253,0.002126788
12/30/2016,-0.013098655,0.005262825,-0.030032287,0.011245098,-0.047939462,0.010441524,0.012539686,0.014152697,0.007861298,-0.011789916,-0.0015483,-0.021044437,-0.013287266,0.00441581,-0.011614855,-0.00506113,-0.03861466,0.007571014,0.020044179,-0.006763519,-0.004147685,0.010359976,-0.048476514,0.017173474,-0.02415165,0.005711402,0.001360121,-0.006869113,-0.003283308,-0.009693129,-0.025273451,-0.004681468,0.017507019,-0.002126788
1/3/2017,-0.016453992,-0.007470328,0.007423939,0.006483005,0,-0.006973116,-0.00199422,-0.002668933,-0.022371901,0.002276509,-0.013390348,-0.000228401,-0.008412299,-0.008812206,-0.007370714,-0.003497092,-0.008848333,-0.026251507,-0.034560367,-0.022022734,0,-0.006919241,-0.022387997,-0.01651838,0.004679883,-0.019153036,-0.009778753,-0.004100503,0.015194679,-0.014893892,0.010490194,-0.006225443,-0.011702451,-0.005297266
1/4/2017,0.001921977,-0.008513352,0.016529302,-0.007290433,-0.065867425,0.010477993,0.00865356,0.003560162,-0.002621036,-0.006814038,-0.002830799,0.00688747,-0.002223524,0,-0.001342922,-0.004098696,-0.051632739,0.005567599,0.001031113,0.001147265,-0.012682107,-0.001417968,-0.134403457,0.00328192,-0.046503608,-0.016035624,-0.002092431,-0.004251924,-0.022382957,0.003172927,-0.053993956,0.007783499,-0.001668057,0.014373105
1/5/2017,-0.000963201,0.009340983,0.012195273,-0.011236073,0.053182265,0.014138526,0.008729098,0.000892025,-0.009550028,-0.00469098,0.005778497,0.006238273,-0.00026066,0.003517081,0.001073588,0.002560144,0.058267222,-0.003096937,-0.005139387,0.00143505,0.007179787,0.017153916,0.081506964,0.015904908,0.01520617,0.015336216,-0.000597947,0.006128906,0.010471587,-0.003172927,0.028643458,0.001560487,0.004995184,0.004297015
1/6/2017,0.013868107,0.002483893,0.050325084,-0.004777079,-0.024897552,0.017511117,0.017690168,0.000892821,0.02194256,0.003472535,0.005043553,0.03107509,0.003138322,0.000219127,0.00322871,0.001949004,0.015668938,0.004338402,0.002569188,0.006921327,0.02641896,-0.007183601,-0.029148543,0.024341973,0.018523758,0.002807874,0.000597947,0.010644311,0.040271449,0.004232811,-0.002232006,0.001562926,-0.00083282,0.009741992
1/9/2017,0.003253307,-0.001104021,0.016260521,0.002385687,0,0.013219814,-0.007524803,0.002683256,-0.004613275,0.014718189,-0.007664411,0.015423736,-0.007957842,0.003087987,0.005765003,-0.003281188,-0.008990144,-0.00804211,0.013450227,0.01047265,-0.004569013,0.006154208,-0.02199806,-0.021666386,-0.006497966,-0.097225826,0.004941132,-0.000862561,-0.007507082,0.002123143,0.008958073,-0.001562926,-0.006646323,-0.011892808
1/10/2017,-0.007790229,-0.001105917,0,-0.006349228,0.004106782,0.016194772,-0.02356282,-0.005359331,-0.002273002,-0.003349467,-0.013109413,0.008044997,-0.009311524,0.001324902,-0.002706516,-0.011907081,-0.022105999,0.002467614,0.017865788,0.003515398,-0.00524735,0.001441034,-0.01708169,-0.019237741,-0.023078274,-0.044982628,-0.000449912,-0.00017282,0.021994547,-0.008465659,0.010860421,-0.036863231,-0.019669521,0.001612678
1/11/2017,0.013017636,-0.010160611,0.03333642,0.011938065,0.02079077,0.002331248,0.00533601,0.00089123,-0.000206477,0.00440866,0.00237068,0.010829247,0.006198039,-0.001324902,0.0012624,0.008942278,0.044734744,-0.005543593,-0.006871812,0.012696564,0.007705301,-0.0077985,0.02162143,0.00857808,0.002167443,-0.015152662,-0.003894515,-0.001895088,-0.013799594,0.001054296,-0.008156354,-0.019428168,0.01306708,-0.004294708
1/12/2017,-0.002617119,-0.010326882,0.010221554,-0.026078127,-0.02079077,-0.013002566,-0.009321213,0.003572882,-0.006273994,-0.004055532,-0.005488382,-0.021300686,-0.005554684,-0.001986589,-0.002523209,0,-0.02485249,0,0.013256765,0.050275147,0.007761101,0.006975388,0.016530837,-0.007263155,-0.008971827,-0.047590173,-0.044867804,-0.001374914,0.015887513,-0.006309169,-0.000447344,0.014905946,-0.028372433,-0.001605772
1/13/2017,0.012163817,0.001893038,0.012058716,0.006259801,0.00826451,0.005554132,-0.000661461,-0.002680858,0.002104357,-0.007713674,-0.001929048,0.002668879,0.003355635,-0.006151762,0.004239092,-0.00265006,-0.013306041,0.006161449,-0.003200467,-0.008709228,0.009253511,0.010764112,-0.011053952,0.010582109,-0.011675486,0.017950678,-0.010660701,-0.001202984,-0.002087919,0.008421102,-0.014778402,-0.025202897,0.007221152,0
1/16/2017,-0.005608131,-0.005941861,0.003472226,-0.004698521,-0.032655963,0.006984982,-0.018373706,-0.00888464,0.0220757,-0.000348378,0.016848306,0.000727659,0.008697432,-0.003062996,0.00253292,0.005614863,0.011064843,0.018085931,-0.016351735,-0.004945025,0.012228235,-0.005189717,-0.017252176,0.007340707,0.007549906,-0.011617708,0.014958544,-0.004110469,-0.009676795,0.013837368,-0.000885516,0,0.006455377,0.014008762
